Year,County,Hospital,OSHPDID,Surgery,# of Cases,Location 1
2005,Los Angeles,Huntington Memorial Hospital,106190400,OPENRYGB,3,"(34.13565, -118.1518)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,VSG,,"(34.13565, -118.1518)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,BPD,,"(33.789, -118.29415)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,LAPBAND,,"(33.789, -118.29415)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,LAPRYGB,47,"(33.789, -118.29415)"
2015,Napa,Saint Helena Hospital,106281078,VSG,12,"(38.53937349, -122.473003)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,OPENRYGB,41,"(33.789, -118.29415)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,VSG,1,"(33.789, -118.29415)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,BPD,36,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,LAPBAND,23,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,LAPRYGB,263,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,OPENRYGB,66,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,VSG,32,"(34.06284, -118.20287)"
2005,Los Angeles,Lancaster Community Hospital,106190455,BPD,,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,LAPBAND,,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,LAPRYGB,39,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,OPENRYGB,12,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,VSG,,"(34.67949, -118.14781)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,BPD,,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,LAPBAND,,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,LAPRYGB,3,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,OPENRYGB,,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,VSG,,"(33.80801, -118.1852)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,BPD,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,LAPBAND,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,LAPRYGB,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,OPENRYGB,3,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,VSG,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,BPD,,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,LAPBAND,,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,LAPRYGB,1,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,OPENRYGB,,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,VSG,1,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,BPD,,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,LAPBAND,,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,LAPRYGB,4,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,OPENRYGB,24,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,VSG,,"(34.03606, -118.30909)"
2015,Santa Clara,Stanford Hospital,106430905,LapRYGB,86,"(37.43342, -122.17827)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,BPD,,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,LAPBAND,,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,LAPRYGB,,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,OPENRYGB,3,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,VSG,,"(33.89246, -118.29493)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,BPD,,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,LAPBAND,3,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,LAPRYGB,226,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,OPENRYGB,14,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,VSG,,"(34.13603, -118.03879)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,BPD,,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,LAPBAND,2,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,LAPRYGB,,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,OPENRYGB,,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,VSG,,"(34.0572, -118.36195)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,BPD,,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,LAPBAND,,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,LAPRYGB,19,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,OPENRYGB,,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,VSG,,"(34.22075, -118.53186)"
2005,Los Angeles,Olympia Medical Center,106190534,BPD,,"(34.05754, -118.36008)"
2005,Los Angeles,Olympia Medical Center,106190534,OPENRYGB,1,"(34.05754, -118.36008)"
2005,Los Angeles,Olympia Medical Center,106190534,VSG,,"(34.05754, -118.36008)"
2005,Los Angeles,PIH Hospital – Downey,106190243,BPD,,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,LAPBAND,1,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,LAPRYGB,,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,OPENRYGB,,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,VSG,,"(33.93515, -118.13196)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,BPD,,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,LAPBAND,1,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,LAPRYGB,4,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,OPENRYGB,,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,VSG,,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,BPD,,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,LAPBAND,,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,LAPRYGB,56,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,OPENRYGB,54,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,VSG,,"(34.1559, -118.32711)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,BPD,,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,LAPBAND,,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,LAPRYGB,235,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,OPENRYGB,22,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,VSG,1,"(34.068889, -118.445)"
2005,San Diego,Alvarado Hospital,106370652,LAPBAND,11,"(32.77708, -117.05683)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,BPD,,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,LAPBAND,,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,LAPRYGB,20,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,OPENRYGB,9,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,VSG,,"(33.7802376, -118.1866412)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,BPD,,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,LAPBAND,2,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,LAPRYGB,66,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,OPENRYGB,24,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,VSG,,"(34.02755, -118.48623)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,BPD,,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,LAPBAND,3,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,LAPRYGB,67,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,OPENRYGB,11,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,VSG,,"(34.06879, -118.26324)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,BPD,,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,LAPBAND,,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,LAPRYGB,48,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,OPENRYGB,7,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,VSG,,"(34.02328, -118.39724)"
2005,Los Angeles,Temple Community Hospital,106190784,BPD,,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,LAPBAND,1,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,LAPRYGB,31,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,OPENRYGB,67,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,VSG,1,"(34.07534, -118.28366)"
2005,Los Angeles,Torrance Memorial Medical Center,106190422,BPD,,"(33.81258, -118.34388)"
